board,code,name,subject,group
TEC,82822,Trade,,
TEC,82892,Industrial Attachment Training,,
TEC,82921,Trade,,
TEC,82922,Trade,,
TEC,82992,Industrial Attachment Training,,
TEC,83221,Trade,,
TEC,83222,Trade,,
TEC,83292,Industrial Attachment Training,,
TEC,83321,Trade,,
TEC,83322,Trade,,
TEC,83392,Industrial Attachment Training,,
GCE,Accounting,Accounting,,BUS
GCE,BENGALI,BENGALI,BNG,
GCE,Biology,Biology,BIO,SCI
GCE,BUSINESS_STUDIES,BUSINESS_STUDIES,,BUS
GCE,Chemistry,Chemistry,CHE,SCI
GCE,Economics,Economics,ECO,
GCE,English,ENG,,
GCE,Further_Pure_Mathematics,Further_Pure_Mathematics,MAT,SCI
GCE,GEOGRAPHY,GEOGRAPHY,,SCI
GCE,ICT,ICT,,
GCE,Mathematics,Mathematics,MAT,SCI
GCE,Others,Others,,
GCE,Physics,Physics,PHY,SCI
